Activity_ID,SMILES,target_id,pchembl_value_Mean
AADCDMQTJNYOSS_on_P14416_WT,CCc1cc(Cl)c(OC)c(C(=O)NCC2CCCN2CC)c1O,P14416_WT,9.863333333333332
AADWBQLQKGQDIM_on_P14416_WT,O=C(CCCN1CCC(c2cc3ccc2CCc2ccc(cc2)CC3)CC1)c1cc2ccc1CCc1ccc(cc1)CC2,P14416_WT,7.645
AAELEHAFAYIZRH_on_P14416_WT,O=C(NC1CCC(CCN2CCN(c3nsc4ccccc34)CC2)CC1)c1ccco1,P14416_WT,8.37
AAIDTVFHOXBFSJ_on_P14416_WT,CC(C)CN1CCOC2c3cc4c(cc3CCC21)CCO4,P14416_WT,5.3
AAONJNLMLWRZJE_on_P14416_WT,Cc1ccc2c(-c3nnc(SCCCN4CC5CC5(c5ccc(Cl)cc5)C4)n3C)cccc2n1,P14416_WT,6.4
AAPCMUAAQFZHRZ_on_P14416_WT,CC(C)C(O)C(=O)NC1CCC(CCN2CCN(c3cccc4c3OCO4)CC2)CC1,P14416_WT,7.085
AAPNNVKAQPYKAA_on_P14416_WT,COc1ccc(CN2CC=C(c3c[nH]c4ccc(OC(C)C)cc34)CC2)cc1,P14416_WT,6.78
AAPXNHMQKBDDJN_on_P14416_WT,Cc1ncoc1-c1nnc(SCCCN2CCC3(CC3c3ccccc3)C2)n1C,P14416_WT,5.93
AAQUEQYOKSKIDA_on_P14416_WT,COc1ccccc1N1CCN(CCCCCN2C(=O)c3ccccc3S2(=O)=O)CC1,P14416_WT,7.7
AARLSAHQVGPBSH_on_P14416_WT,CC1(c2ccc(F)cc2)NC(=O)N(CC(O)CN2CCN(Cc3ccccc3)CC2)C1=O,P14416_WT,4.7
AARWRAFDYZSYPD_on_P14416_WT,Cc1c(C(=O)NCCCCN2CCN(c3cccc(Cl)c3Cl)CC2)nnn1Cc1ccccc1,P14416_WT,7.63
AARWZLCCVAYIQN_on_P14416_WT,CCOc1ccc(F)cc1C1CC1CNCCCSc1nnc(-c2ccccc2)n1C,P14416_WT,6.18
AAYBHLNWKYXETD_on_P14416_WT,O=S(=O)(c1cccc2ncccc12)N1CCCC1CCN1CCC(c2noc3cc(F)ccc23)CC1,P14416_WT,8.735
AAYMNPGQEZYHNE_on_P14416_WT,COc1ccccc1N1CCN(CCCCNC(=O)c2cc(C)ccc2C)CC1,P14416_WT,7.715
ABHVAQKOVOLZPM_on_P14416_WT,O=CNC1CCC(CCN2CCN(c3nccc4c3CCO4)CC2)CC1,P14416_WT,6.08
ABKVEMFUXMVUSG_on_P14416_WT,CCCC(=O)NC1CCC(CCN2CCN(c3nccc4c3CCO4)CC2)CC1,P14416_WT,6.08
ABNWTYHEAATIEC_on_P14416_WT,COc1ccccc1N1CCN(CCCCNC(=O)c2cc3cc(Br)ccc3o2)CC1,P14416_WT,7.02
ABOBMBIQQPJTMJ_on_P14416_WT,O=C1CCc2ccccc2N1CCCN1CCN(c2ccccc2)CC1,P14416_WT,5.96
ABOYXIDEOWOTGI_on_P14416_WT,O=C(CC1(O)CCOCC1)NC1CCC(CCN2CCC(c3cccc4c3OCO4)CC2)CC1,P14416_WT,6.51
ABSKTFYOWZQKEU_on_P14416_WT,CN(CCN1CCN(c2ccc3c(c2)OCO3)C1=O)CC12CCC(CC1)C2(C)C,P14416_WT,5.8
ABUDXXYFKLCSKO_on_P14416_WT,O=C1CCc2ccc(F)cc2N1CCCN1CCC(n2c(=O)[nH]c3ccccc32)CC1,P14416_WT,7.05
ABVUWVBSAIPHQT_on_P14416_WT,Cn1c(SCCCNCC2CC2c2cc(F)ccc2OCCF)nnc1-c1ccccc1,P14416_WT,5.82
ABXZOXDTHTTZJW_on_P14416_WT,Oc1ccc(CC2NCCc3cc(O)c(O)cc32)cc1O,P14416_WT,5.47
ACAWRKNKSILJBW_on_P14416_WT,O=C(NC1CCC(CCN2CCC(c3cccc4c3OCO4)CC2)CC1)C1CCOC1,P14416_WT,6.78
ACEAZRLEPRIAMD_on_P14416_WT,CC(=O)NC1CCC(CCN2CCN(c3ncc(C)c4c3CCO4)CC2)CC1,P14416_WT,5.64
ACFIBJLBHXWBFG_on_P14416_WT,Cc1ncoc1-c1nnc(SCCCN2CCC3CC3(c3ccccc3)C2)n1C,P14416_WT,6.4
ACHQQXOLWIKHRK_on_P14416_WT,Clc1ccc(N2CCN(Cc3cn4nc(N5CCCCC5)ccc4n3)CC2)cc1Cl,P14416_WT,6.055
ACJNHQLAGNWKBM_on_P14416_WT,Cc1ccc(-c2ccc3c(c2)C(N2CCN(C)CC2)Cc2ccccc2S3)cc1,P14416_WT,8.2
ACKGCCXJFAZCFF_on_P14416_WT,O=C(NCCCCN1CCN(c2cccc(Cl)c2Cl)CC1)c1cc2ccc1CCc1ccc(cc1)CC2,P14416_WT,6.755
ACKJXZGTUCARLB_on_P14416_WT,Cn1c(SCCCN2CCC3(CC3c3ccc(C(F)(F)F)cc3)C2)nnc1-c1ccnnc1,P14416_WT,5.699999999999999
ACSUMENHCIMTQG_on_P14416_WT,O=S(=O)(c1cccc2ncccc12)N1CCCCCC1CCN1CCN(c2cccc3sccc23)CC1,P14416_WT,8.0
ACTVOFFLDWZANE_on_P14416_WT,CN(C)CC1CC2c3ccccc3Cc3ccccc3C2O1,P14416_WT,7.21
ACVXRXJQYWHUND_on_P14416_WT,Cc1cccc(OCCNCCCOc2ccccc2)c1,P14416_WT,7.21
ACYCBNFGNBHQEP_on_P14416_WT,COc1ccc(S(=O)(=O)NC2CCC(N3CCC(c4ccccc4OC(C)C)CC3)CC2)cc1OC,P14416_WT,6.96
ACZCVZUKGWGYJX_on_P14416_WT,CC(=O)NC1CCc2ccc(CCN3CCN(c4nsc5ccccc45)CC3)cc21,P14416_WT,7.66
ADAZZWTYEBRRHE_on_P14416_WT,COc1ccccc1N1CCN(Cc2c(C)[nH]c3nc(N(C)C)ncc23)CC1,P14416_WT,5.5600000000000005
ADDKZOUNFAZVBP_on_P14416_WT,CC1COC(c2ccc(N)nc2)CN1CCC1CCC(NC(=O)c2cc3ccccc3[nH]2)CC1,P14416_WT,7.0
ADDORVGWJJXKFK_on_P14416_WT,Cc1cnc(N2CCN(CCC3CCC(NC(=O)CC4CCOCC4)CC3)CC2)c2c1OCC2,P14416_WT,5.53
ADGRZRHCVXPKAN_on_P14416_WT,CCc1cccc(N2CCN(CCCCNC(=O)c3cn4ccccc4n3)CC2)c1Cl,P14416_WT,8.25
ADKPDCJUAOTYGJ_on_P14416_WT,O=C(NCCCN1CCN(c2ccc(Cl)cc2)CC1)NN(Cc1ccc(F)cc1)c1ccccc1,P14416_WT,6.359999999999999
ADLYXAHODXNVQT_on_P14416_WT,COc1cccc(OC)c1C(=O)NN1c2ccc(Cl)cc2N=C(N2CCN(C)CC2)c2ccccc21,P14416_WT,6.47
ADUUVPPWHWVJFK_on_P14416_WT,COc1ccccc1N1CCN(CCCCc2cn(-c3ccccc3)nn2)CC1,P14416_WT,7.39
ADUYXHYSTCIMEO_on_P14416_WT,O=c1[nH]c2cc(Cl)ccc2n1C1CCN(CCCCc2c[nH]c3ccccc23)CC1,P14416_WT,6.87
ADVQAEICXAHZOY_on_P14416_WT,CC1CN(CCC2CCC(N3C(=O)c4ccccc4C3=O)CC2)CCc2ccc(Cl)cc21,P14416_WT,8.24
ADWCVCJMIQYGTM_on_P14416_WT,O=C(CCOCCN1CCN(c2cccnc2-c2ccccc2)CC1)NCc1ccc(C(F)(F)F)cc1,P14416_WT,5.56
AEEFPFZMNZVYPW_on_P14416_WT,FC(F)(F)c1cccc(N2CCN(CCCc3ccc4[nH]c(=S)[nH]c4c3)CC2)c1,P14416_WT,8.24
AEGDITSWVZEWFA_on_P14416_WT,Clc1ccc(N2CCN(CCCCNc3noc(-c4ccccc4)n3)CC2)cc1,P14416_WT,4.1
AEJCTJSNUNXYQL_on_P14416_WT,COc1ccc(S(=O)(=O)NC2CCC(N3CCC(c4cc(F)ccc4OC(C)C)CC3)CC2)cc1OC,P14416_WT,6.890000000000001
AEKRAVIJSVJVBT_on_P14416_WT,O=C1c2ccccc2S(=O)(=O)N1CCCCN1CCN(c2ccc(Cl)cc2)CC1,P14416_WT,6.75
AELYPESLFOQFTR_on_P14416_WT,O=S(=O)(c1cccc2ncccc12)N1CCC(CCN2CCN(c3ccc(Cl)cc3)CC2)CC1,P14416_WT,6.85
AENHFZZMNBETCL_on_P14416_WT,Cn1c(SCCCN2CC3CCN(c4cccc(C(F)(F)F)c4)C3C2)nnc1-c1cnccn1,P14416_WT,7.5
AENWLGXTORARIE_on_P14416_WT,COc1c(Cl)cccc1N1CCN(CCCCNC(=O)c2cnc3ccccc3c2)CC1,P14416_WT,7.37
AEQDJSLRWYMAQI_on_P14416_WT,COc1cc2c(cc1OC)C1Cc3ccc(OC)c(OC)c3CN1CC2,P14416_WT,5.95
AEUDDHALUDWNEZ_on_P14416_WT,Cc1nc(C)c(-c2nnc(SCCCN3CCC4(CCc5ccc(F)cc54)C3)n2C)s1,P14416_WT,6.4
AEXFOTSQBUVBKJ_on_P14416_WT,Cc1cnc(-c2nnc(SCCCN3CC4CC4(c4ccc(C(F)(F)F)cc4)C3)n2C)cn1,P14416_WT,6.3
AFDHKRHSWWMNFN_on_P14416_WT,O=S1(=O)c2cccc3cccc(c23)N1CCCCCCN1CCN(c2cccc(Cl)c2)CC1,P14416_WT,6.92
